Species,Channel Gradient (%)(Naturally Accessible Waterbodies,Spawning Habitat Channel Gradient (%),Spawning Habitat Mean annual discharge (m3/s),Rearing Habitat Channel gradient (%),Rearing Habitat Mean Annual discharge (m3/s),Rearing Habitat Minimum Lake area (ha),Rearing Habitat Multiplier (1.5x)
Westslope Cutthroat Trout,0-20,0-5 [1][2],0.05-76 [1][3][4],0-7 [2],0.02-30 [3][4],NA,Lake
