WCRP Unit,Population Group,Waterbodies,Life History Forms,Threat of Hybridization
Upstream of the Elko Dam,Elk River,Elk River mainstem and all tributaries above Elko Dam,Stream-resident and fluvial,Low
Downstream of the Elko Dam,Upper Kootenay,Elk River mainstem below Elko Dam and Wigwam and Lodgepole systems (connected to the Koocanusa Reservoir),"Stream resident, fluvial, and adfluvial",High
