Goal #,Goal
1,"By 2031, the Longest Fragment (%) for Westslope Cutthroat Trout will increase from 69% to 83% above the Elko Dam (i.e., reconnect at least 142 km of habitat). "
2,"By 2041, the Longest Fragment (%) for Westslope Cutthroat Trout will increase to 86% above the Elko Dam (i.e., reconnect at least an additional 30 km of habitat).  "
3,"By 2031, the Longest Fragment (%) for Westslope Cutthroat Trout will increase from 98% to 99% below the Elko Dam (i.e., reconnect at least 3 km of habitat).  "
4,"By 2041, the Longest Fragment (%) for Westslope Cutthroat Trout will not decrease from 99% below the Elko Dam. "
