"aggregated_crossings_id","barrier_id","internal_name","crossing_source","crossing_feature_type","crossing_type_code","barrier_status","transport_line_structured_name_1","rail_track_name","blue_line_key","watercourse_name","road_name","structure_type","structure_owner","private_owner_details","structure_list_status","assessment_type_completed","reason_for_exclusion","method_of_exclusion","partial_passability","partial_passability_notes","upstream_habitat_quality","constructability","estimated_cost_$","priority","type_of_rehabilitation","rehabilitated_by","rehabilitated_date","estimated_rehabilitation_cost_$","actual_project_cost_$","next_steps","timeline_for_next_steps","lead_for_next_steps","others_involved_in_next_steps","reason","notes","supporting_links","modelled_crossing_id","pscis_status","crossing_subtype_code","pscis_road_name","pscis_stream_name","pscis_assessment_comment","pscis_assessment_date","dam_name","dam_height","dam_owner","dam_use","dam_operating_status","utm_zone","utm_easting","utm_northing","downstream_route_measure","wscode","localcode","watershed_group_code","gnis_stream_name","barriers_anthropogenic_dnstr","barriers_anthropogenic_dnstr_count","barriers_anthropogenic_habitat_wcrp_upstr","barriers_anthropogenic_habitat_wcrp_upstr_count","barriers_ch_cm_co_pk_sk_dnstr","barriers_st_dnstr","barriers_wct_dnstr","ch_spawning_km","ch_rearing_km","ch_spawning_belowupstrbarriers_km","ch_rearing_belowupstrbarriers_km","cm_spawning_km","cm_spawning_belowupstrbarriers_km","co_spawning_km","co_rearing_km","co_rearing_ha","co_spawning_belowupstrbarriers_km","co_rearing_belowupstrbarriers_km","co_rearing_belowupstrbarriers_ha","pk_spawning_km","pk_spawning_belowupstrbarriers_km","sk_spawning_km","sk_rearing_km","sk_rearing_ha","sk_spawning_belowupstrbarriers_km","sk_rearing_belowupstrbarriers_km","sk_rearing_belowupstrbarriers_ha","st_spawning_km","st_rearing_km","st_spawning_belowupstrbarriers_km","st_rearing_belowupstrbarriers_km","wct_spawning_km","wct_rearing_km","wct_spawning_belowupstrbarriers_km","wct_rearing_belowupstrbarriers_km","all_spawning_km","all_spawning_belowupstrbarriers_km","all_rearing_km","all_rearing_belowupstrbarriers_km","all_spawningrearing_km","all_spawningrearing_belowupstrbarriers_km","set_id","total_hab_gain_set","num_barriers_set","avg_gain_per_barrier","dnstr_set_ids","rank_avg_gain_per_barrier","rank_avg_gain_tiered","rank_total_upstr_hab","rank_combined","tier_combined","label_in_wcrp","elko_region","geom"
"1004603202",NULL,NULL,"MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","OBS","PASSABLE",NULL,NULL,356563871,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4603202,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,655425,5528947,"2070.60359817259","300.625474.584724.501797.033182","300.625474.584724.501797.033182","ELKR","Line Creek","11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,"1004603948;1004604098;1004604105;1004604147;1004604461;1004604469;1004604481;1004604566;1004605000;1004605053;1004605629;1004606108;1004606581;1004607470;1004607598;1024734942",16,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.9436797053138","19.1408555554442","8.93","11.84","13.94","13.94","19.14","19.14","19.14","19.14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"no","above_elko","01010000E0BD0B0000DE6311E03A733B41D7CA3C6F6A76224116506032C000944066D6D10A352DA040"
"1004603244",NULL,NULL,"MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL",NULL,NULL,356543731,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4603244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,653406,5555764,"644.820950023677","300.625474.584724.501797.613540","300.625474.584724.501797.613540.303843","ELKR",NULL,"11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0219999999999956","0","0.02","0","0.02","0.02","0","0","0.02","0.02","172222","0.02",1,"0.02000000000000000000",NULL,"102","121","139","120","D","no","above_elko","01010000E0BD0B0000689397D0F45D3B411F88E0D3304423410000000000809840BFFA3E4E91268440"
"1004603316",NULL,NULL,"MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL",NULL,NULL,356539670,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4603316,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,649912,5547085,"624.736398684731","300.625474.584724.621147","300.625474.584724.621147","ELKR",NULL,"11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0760000000000926","0","0.08","0","0","0.08","0.08","0.08","0.08","174402","0.08",1,"0.08000000000000000000",NULL,"97","112","123","108","D","no","above_elko","01010000E0BD0B0000DEE8758BC5543B4151FF52E46CFD224118CC017B4B229440E55DFE24E4858340"
"1004603445",NULL,NULL,"MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","OBS","PASSABLE",NULL,NULL,356570562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4603445,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,645469,5590327,"197592.966697387","300.625474.584724","300.625474.584724.895958","ELKR","Elk River","11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,"1004605651",1,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31.7778456858135","40.2395361744696","31.78","39.12","31.78","31.78","40.24","40.24","40.24","40.24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"no","above_elko","01010000E0BD0B000072D5E9C7E32D3B41C62AAF00284824416E8A3E1560549940F2D6CBBBC71E0841"
"1004603451",NULL,NULL,"MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL",NULL,NULL,356533648,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4603451,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,649472,5576994,"1147.57873077356","300.625474.584724.816044","300.625474.584724.816044","ELKR",NULL,"1024735335;11e03b9a-0a3f-4022-b534-7e3de9eece2e",2,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0338255411783011","0","0.03","0","0","0.03","0.03","0.03","0.03","176582","0.05",2,"0.02500000000000000000",NULL,"101","118","127","112","D","no","above_elko","01010000E0BD0B000088236EE412443B41BA07BEB5CCE4234152E3DDF3FD9B974084C6CC9E50EE9140"
"1004603948",NULL,NULL,"MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","OBS","PASSABLE",NULL,NULL,356563871,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4603948,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,661604,5536545,"14270.5752749105","300.625474.584724.501797.033182","300.625474.584724.501797.033182.663702","ELKR","Line Creek","1004604098;1004604461;1004606108;1004604469;1004605053;1004604566;1004605000;1004604481;11e03b9a-0a3f-4022-b534-7e3de9eece2e",9,"1004604105;1004604147;1004605629;1004606581;1004607470;1004607598",6,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.47750504919433","6.75719294807192","4.3","4.64","4.48","4.48","6.76","6.76","6.76","6.76",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"no","above_elko","01010000E0BD0B00003FA8B68F5B873B413B4DF5AC7CB722413D5DF25C8ADE984067B79BA249DFCB40"
"1004603990",NULL,NULL,"MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL",NULL,NULL,356534351,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4603990,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,668028,5508637,"986.425353266883","300.625474.584724.412090.240087.386148.411292","300.625474.584724.412090.240087.386148.411292.290753","ELKR",NULL,"1024734526;11e03b9a-0a3f-4022-b534-7e3de9eece2e",2,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.198626561278368","0","0.2","0","0","0.2","0.2","0.2","0.2","178762","0.2",1,"0.20000000000000000000","{320462}","81","147","107","117","D","no","above_elko","01010000E0BD0B00007DB9768343AE3B41A3B483BABFE521419F9DCBDA048A984013149D1F67D38E40"
"1004604004",NULL,NULL,"MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL",NULL,NULL,356547398,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4604004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,646754,5586279,"95.9834601483481","300.625474.584724.872887","300.625474.584724.872887","ELKR",NULL,"11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.43999999999993","0","1.44","0","0","1.44","1.44","1.44","1.44","180942","1.44",1,"1.44000000000000000000",NULL,"21","20","39","23","C","no","above_elko","01010000E0BD0B0000CCD56EDDE4343B4165D55BF90E2A24414CB73A09E0AE9840C384D502F1FE5740"
"1004604005","1004604005","Trib to Elk R @ unnamed","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL",NULL,NULL,356442888,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4604005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,646604,5586608,"315.589238104187","300.625474.584724.876015","300.625474.584724.876015","ELKR",NULL,"11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,"1004604012;1004604016",2,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.91466438739929","0","1.75","0","0","2.91","1.74","2.91","1.74","189662","1.74",1,"1.74000000000000000000",NULL,"17","16","19","15","B","yes","above_elko","01010000E0BD0B000096D13CFE25343B416C31CC53752C24410054E3A59BC09840A530EF846DB97340"
"1004604006",NULL,NULL,"MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL",NULL,NULL,356570006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4604006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,647065,5584911,"30.7852123945125","300.625474.584724.865829","300.625474.584724.865829","ELKR","Gardner Creek","11e03b9a-0a3f-4022-b534-7e3de9eece2e",1,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0180915189677491","0.480162874921128","0.02","0.48","0.02","0.02","0.48","0.48","0.48","0.48","185302","0.48",1,"0.48000000000000000000",NULL,"54","68","81","67","D","no","above_elko","01010000E0BD0B0000768633C5C8363B41B64F3977C31F24415C5E0EC4D081984054D8F2AD03C93E40"
